Actual,Predicted
71697752.5,71697752.5000003
87037367.5,87037367.5000003
300635100.5,300635100.4999999
254503379.0,254503379.0
457526685.5,457526685.49999964
159500921.0,159500921.00000018
405155951.5,405155951.4999997
296663548.5,296663548.49999994
81465391.5,81465391.50000033
227419372.5,227419372.50000003
354939888.0,354939887.9999998
328253552.0,328253551.9999998
72156579.5,72156579.50000033
211017131.0,211017131.00000006
174086361.5,174086361.50000012
292397914.0,292397913.99999994
150065187.5,150065187.50000018
454301643.0,454301642.99999964
41833404.0,41833404.00000039
67880118.0,67880118.0000003
287735057.5,287735057.49999994
154543341.5,154543341.50000018
205063448.0,205063448.00000006
237924686.0,237924686.00000003
336826275.5,336826275.4999999
114811667.5,114811667.50000024
398386260.5,398386260.4999997
231447538.5,231447538.50000003
58083332.0,58083332.00000033
306554053.0,306554052.9999999
318911652.5,318911652.4999999
272898939.5,272898939.49999994
123938543.0,123938543.00000022
186864322.5,186864322.50000012
417378338.0,417378337.9999997
429302223.5,429302223.49999964
206489739.5,206489739.5000001
392684918.0,392684917.99999976
196324372.0,196324372.00000006
241136279.0,241136279.0
187788649.0,187788649.00000012
457345422.5,457345422.49999964
97457928.5,97457928.50000027
327286836.5,327286836.4999999
352330439.5,352330439.49999976
448147396.0,448147395.99999964
385400801.0,385400800.99999976
162384119.5,162384119.50000018
127183803.5,127183803.50000022
180878295.0,180878295.00000012
393183929.0,393183928.99999976
200069422.0,200069422.00000012
79963370.0,79963370.0000003
271059765.5,271059765.49999994
166177466.5,166177466.50000012
177363474.5,177363474.50000012
91895680.5,91895680.5000003
56486180.0,56486180.00000036
354520133.5,354520133.4999998
329234840.5,329234840.4999999
332386738.0,332386737.9999998
257768148.5,257768148.49999997
268183708.5,268183708.49999994
299080358.5,299080358.4999999
62623186.5,62623186.50000033
264260618.0,264260617.99999997
82837295.5,82837295.50000033
147276757.0,147276757.00000018
365082255.5,365082255.49999976
46631336.0,46631336.00000036
310674826.0,310674825.9999999
95408943.0,95408943.00000027
440553032.5,440553032.49999964
92428023.5,92428023.5000003
108397685.5,108397685.50000027
378770639.5,378770639.49999976
319785432.0,319785431.9999999
57523149.5,57523149.50000036
103816229.5,103816229.50000024
58536639.0,58536639.00000036
207657908.0,207657908.00000006
431549625.0,431549624.9999997
217335686.0,217335686.00000006
153999269.5,153999269.50000018
245654134.5,245654134.5
208763506.5,208763506.50000006
63013091.0,63013091.00000033
356393024.0,356393023.9999998
346031125.0,346031124.9999998
